timestamp,hash,196 Albany,4101 White Plains Road,57 Cleveland Place,Bathgate Contract Postal Station,Bay Ridge 5th Avenue,Beach 39th,Bellevue Hospital,Belvis DTC,Bensonhurst 14th Avenue,Brooklyn Army Terminal,Canarsie Municipal Lot,Ida G. Israel CHC,Co-op City Retail Space,Coney Island Hospital,Jonathan Williams Houses,Vanderbilt,Woodside Houses,Cumberland DTC,Edward Grant,Elmhurst Hospital,East New York DTC,Fort Hamilton,Gouverneur Healthcare,Greenbelt Recreation Center,Harlem Hospital Center,Highbridge Pool,Jacobi Medical Center,JFK Airport,Kew Gardens,Kings County Hospital,LaGuardia Airport,Lefferts,Lincoln Medical Center,Mariners Harbor Library,Metropolitan Hospital,Midwood,Morrisania DTC,Mt. Loretto Sportsplex,North Central Bronx Hospital,Northern Boulevard,Old Broadway,Queens Hospital Center,Rain Boston Road Senior Center,Red Hook Recreation Center,Sorreno Recreation Center,St. Albans,St. George Ferry Terminal,St. James Recreation Center,Starret City,Dyckman Clinica de Las Americas,St. Nicholas CHC,Sydenham Health Center,Tremont CHC,Windsor Park Library,Woodhull Medical Center
2020-11-30T16:00:05.000Z,f382bc51bafa8f2826ebce95333a2564,NR,NR,NR,NR,NR,NR,0-30,NR,NR,NR,NR,NR,NR,0-30,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0-30,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,30-60,NR,NR,30-60,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2020-11-30T17:15:06.000Z,a6b663e8ca2e17b77229d3bfe85f47f4,NR,NR,0-30,NR,NR,30-60,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0-30,0-30,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2020-12-01T14:00:10.000Z,72fa748a80ea06d3e3bc6d578b984a4d,0,NR,NR,NR,NR,NR,60-90,NR,NR,NR,NR,NR,NR,0-30,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0-30,NR,NR,NR,NR,30-60,NR,NR,30-60,NR,NR,NR,NR,NR,60-90,NR,NR,NR,NR,0-30,NR,0,NR,NR,NR,NR,NR,NR
2020-12-03T15:28:11.000Z,04b94adab824ef845c448191e7a98c1f,NR,0-30,NR,NR,0-30,30-60,0-30,NR,30-60,NR,0,NR,0-30,NR,NR,NR,NR,NR,NR,30-60,NR,NR,NR,60-90,0-30,60-90,0-30,0-30,90-120,0-30,NR,30-60,0,0-30,30-60,30-60,30-60,90-120,NR,30-60,0,30-60,0,NR,NR,0-30,60-90,90-120,0-30,NR,NR,NR,NR,30-60,60-90
2020-12-03T16:28:11.000Z,04b94adab824ef845c448191e7a98c1f,0,30-60,NR,NR,NR,90-120,90-120,NR,0-30,NR,0,NR,NR,0-30,NR,NR,NR,NR,30-60,30-60,NR,90-120,NR,60-90,30-60,60-90,NR,0,NR,0-30,NR,60-90,0-30,0-30,30-60,>120,0-30,NR,0-30,30-60,0,0-30,0,30-60,NR,NR,NR,90-120,0-30,NR,NR,NR,NR,60-90,NR
2020-12-03T18:18:11.000Z,c838dd81c4892aa9030f7ca365605167,0,30-60,NR,NR,NR,60-90,90-120,NR,0-30,NR,0,NR,NR,NR,NR,NR,NR,NR,60-90,30-60,NR,90-120,NR,60-90,30-60,NR,NR,0,NR,0-30,NR,60-90,NR,NR,60-90,90-120,NR,60-90,NR,NR,NR,30-60,NR,0,NR,NR,NR,90-120,0-30,NR,NR,NR,NR,NR,NR
2020-12-03T19:44:11.000Z,63ddd936addc435a71b35eddab37ddf3,0,30-60,NR,NR,0-30,60-90,90-120,NR,30-60,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,30-60,NR,90-120,NR,NR,60-90,>120,NR,NR,NR,NR,NR,60-90,30-60,NR,NR,90-120,NR,NR,0-30,30-60,NR,30-60,NR,0,NR,30-60,NR,NR,0,NR,NR,NR,NR,NR,NR
2020-12-03T21:46:12.000Z,5abc36b0ca59ebb47e15c8228cf05008,0,30-60,NR,NR,0-30,NR,NR,NR,60-90,NR,NR,NR,NR,NR,NR,NR,NR,NR,30-60,30-60,NR,90-120,NR,NR,NR,NR,NR,0,NR,NR,NR,0-30,30-60,30-60,NR,30-60,NR,NR,60-90,30-60,NR,NR,0,0-30,NR,30-60,NR,60-90,0-30,NR,NR,NR,NR,NR,NR
2020-12-03T22:36:12.000Z,9d32cac501c0bae2a747a04447b26bce,0,30-60,NR,0,0-30,60-90,90-120,NR,60-90,NR,0,NR,30-60,0-30,NR,NR,NR,NR,30-60,30-60,NR,90-120,NR,60-90,60-90,>120,0-30,0,NR,0-30,NR,0-30,30-60,30-60,60-90,30-60,0-30,90-120,60-90,30-60,0-30,30-60,0,0,NR,30-60,0-30,60-90,0-30,NR,NR,NR,NR,90-120,60-90
2020-12-04T13:42:11.000Z,b972967015120739763772f34699b7bf,0,0,NR,NR,NR,NR,90-120,NR,NR,NR,NR,NR,NR,30-60,NR,NR,NR,NR,NR,30-60,NR,NR,NR,NR,0,NR,30-60,NR,NR,0-30,NR,NR,0-30,NR,NR,NR,NR,NR,NR,NR,NR,60-90,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
2020-12-04T15:36:11.000Z,e916ea9f9711b237a8736e8af88b892d,0,0-30,NR,NR,NR,90-120,90-120,NR,30-60,NR,0,NR,0-30,30-60,30-60,NR,NR,NR,NR,60-90,NR,NR,NR,NR,30-60,60-90,30-60,0-30,NR,0-30,NR,30-60,0,NR,0-30,NR,NR,0-30,60-90,0-30,0-30,90-120,0,0-30,NR,0,30-60,30-60,0,NR,NR,NR,NR,30-60,60-90
2020-12-04T16:36:12.000Z,ee87e9d1970769d84e58ea8b54b344e0,0,0-30,NR,NR,NR,90-120,90-120,NR,30-60,NR,0,NR,0-30,0-30,30-60,NR,NR,NR,30-60,60-90,NR,NR,NR,60-90,30-60,60-90,30-60,0-30,>120,0-30,NR,30-60,0,NR,0-30,60-90,30-60,0-30,60-90,0-30,0-30,90-120,0,0-30,NR,0-30,30-60,30-60,0,NR,NR,NR,NR,30-60,60-90
2020-12-04T17:30:14.000Z,490f3f92a5ccf4b791e4cca1ebc39f32,0,0-30,NR,NR,0-30,90-120,90-120,NR,30-60,NR,0,NR,0-30,30-60,30-60,NR,NR,NR,30-60,60-90,NR,NR,NR,90-120,30-60,60-90,30-60,0-30,>120,0-30,NR,90-120,0-30,NR,0-30,60-90,30-60,30-60,30-60,0-30,0-30,90-120,0,0-30,NR,0-30,30-60,30-60,0,NR,NR,NR,NR,30-60,60-90
2020-12-04T19:28:11.000Z,ff9c1b19df5a7e57090c861952244bdf,0,0-30,NR,NR,0-30,60-90,60-90,NR,0-30,NR,0,NR,30-60,30-60,30-60,NR,NR,NR,30-60,90-120,NR,NR,NR,60-90,30-60,>120,30-60,0-30,90-120,0-30,NR,>120,30-60,0-30,0-30,0-30,30-60,90-120,60-90,90-120,0-30,>120,0,0,NR,0-30,30-60,90-120,30-60,NR,NR,NR,NR,30-60,60-90
2020-12-04T22:00:12.000Z,ffb4e73a400ac601a530a3518dd2084b,0,30-60,NR,NR,30-60,0,60-90,NR,0-30,NR,0,NR,0-30,30-60,0-30,NR,NR,NR,30-60,60-90,NR,NR,NR,60-90,30-60,>120,30-60,0-30,90-120,0-30,NR,>120,0-30,0-30,0-30,30-60,30-60,90-120,30-60,60-90,0-30,0-30,0,0,NR,0-30,0-30,60-90,0-30,NR,NR,NR,NR,30-60,60-90
2020-12-04T23:20:11.000Z,e7e628f533fb4a754d19c9a4bdd19bbf,0,30-60,NR,NR,30-60,0,60-90,NR,0-30,NR,0,NR,0-30,30-60,0-30,NR,NR,NR,30-60,60-90,NR,NR,NR,60-90,30-60,>120,30-60,0-30,90-120,0-30,NR,0,0-30,0-30,0-30,30-60,30-60,90-120,30-60,60-90,0-30,0-30,0,0,NR,0-30,0-30,60-90,0-30,NR,NR,NR,NR,60-90,60-90
2020-12-05T14:30:11.000Z,276a3e9d1e580bc2cb099c16c38aa7ef,NR,0,NR,NR,NR,NR,NR,NR,0-30,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,60-90,NR,NR,NR,30-60,NR,NR,0-30,NR,NR,NR,NR,0,0,NR,NR,0-30,NR,NR,NR,60-90,NR,NR,0,NR,NR,30-60,NR,NR,NR,NR,NR,NR,NR,NR,NR
2020-12-05T15:22:11.000Z,a9670505852ff2a0b5c82de8cff77942,NR,0,NR,NR,0-30,NR,NR,NR,30-60,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,60-90,NR,NR,NR,60-90,0-30,30-60,0-30,0-30,NR,NR,NR,0,0,NR,NR,0-30,30-60,NR,NR,60-90,NR,0,0,NR,NR,30-60,NR,90-120,0,NR,NR,NR,NR,0-30,NR
2020-12-05T16:08:11.000Z,dad16ce02e19565cb5242c5153fd45ca,NR,0-30,NR,NR,0-30,NR,30-60,NR,30-60,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,60-90,NR,NR,NR,60-90,0-30,30-60,0-30,0-30,NR,NR,NR,30-60,0,30-60,NR,0-30,30-60,30-60,NR,60-90,NR,0,0,NR,NR,30-60,30-60,90-120,0,NR,NR,NR,NR,0-30,NR
2020-12-05T16:58:12.000Z,f729fdab757be36e2dfe3e7923bde3df,NR,0-30,NR,NR,0-30,NR,30-60,NR,30-60,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,60-90,NR,NR,NR,60-90,30-60,30-60,0-30,0-30,60-90,0-30,NR,30-60,0,30-60,30-60,0-30,30-60,30-60,NR,60-90,0,0,0,NR,NR,30-60,30-60,90-120,0,NR,NR,NR,NR,0-30,NR
2020-12-05T17:46:11.000Z,5c41143a8c9bccd3f7089ef50aefc09f,NR,0-30,NR,NR,0-30,30-60,0,NR,30-60,NR,0,NR,0-30,NR,NR,NR,NR,NR,NR,0-30,NR,NR,NR,60-90,0,30-60,0-30,0-30,60-90,0-30,NR,60-90,0-30,30-60,30-60,30-60,30-60,30-60,NR,30-60,0,0-30,0,NR,NR,0,60-90,90-120,0,NR,NR,NR,NR,0-30,NR
2020-12-05T19:00:00.000Z,59a398670ad58b3209cd02725db58a14,NR,0-30,NR,NR,0-30,30-60,0-30,NR,30-60,NR,0,NR,0-30,NR,NR,NR,NR,NR,NR,30-60,NR,NR,NR,60-90,0-30,60-90,0-30,0-30,90-120,0-30,NR,30-60,0,0-30,30-60,30-60,30-60,90-120,NR,30-60,0,30-60,0,NR,NR,0-30,60-90,90-120,0-30,NR,NR,NR,NR,30-60,NR
2020-12-05T21:29:29.267Z,f661606c0e2664afe081d89fe2b81642,NR,0-30,NR,NR,0-30,30-60,0-30,NR,30-60,NR,0,NR,0-30,NR,NR,NR,NR,NR,NR,30-60,NR,NR,NR,60-90,0-30,60-90,0-30,0-30,>120,90-120,NR,>120,0,0-30,30-60,30-60,30-60,90-120,NR,30-60,0,30-60,0,NR,NR,0-30,60-90,90-120,0-30,NR,NR,NR,NR,30-60,60-90
2020-12-05T21:41:25.055Z,5dda9791bbd37fb0033da33cf2d8fe0a,NR,0-30,NR,NR,0-30,30-60,0-30,NR,30-60,NR,0,NR,0-30,NR,NR,NR,NR,NR,NR,30-60,NR,NR,NR,60-90,0-30,60-90,0-30,0-30,>120,90-120,NR,>120,0,0-30,30-60,30-60,30-60,>120,NR,30-60,0,30-60,0,NR,NR,0-30,60-90,90-120,0-30,NR,NR,NR,NR,30-60,60-90
2020-12-05T21:51:48.053Z,ccfb0681fa22cc4fcaef33a7ec97c72a,NR,0-30,NR,NR,0-30,60-90,0-30,NR,30-60,NR,0,NR,0-30,NR,NR,NR,NR,NR,NR,30-60,NR,NR,NR,60-90,0-30,60-90,0-30,0-30,>120,90-120,NR,>120,0,0-30,30-60,0-30,30-60,>120,NR,30-60,0,30-60,0,NR,NR,0,60-90,90-120,0-30,NR,NR,NR,NR,30-60,60-90
2020-12-05T22:16:02.409Z,2eeb730afb73ba07d6093c6c1256d9fc,NR,0-30,NR,NR,0-30,60-90,0-30,NR,30-60,NR,0,NR,30-60,NR,NR,NR,NR,NR,NR,30-60,NR,NR,NR,60-90,0-30,60-90,0-30,0-30,>120,90-120,NR,>120,0,0-30,30-60,0-30,30-60,>120,NR,30-60,0,30-60,0,NR,NR,0,60-90,90-120,0-30,NR,NR,NR,NR,30-60,60-90
2020-12-05T22:35:09.792Z,59303f8d5c613f263e23a06b69f7772a,NR,0-30,NR,NR,0-30,60-90,0-30,NR,30-60,NR,0,NR,30-60,NR,NR,NR,NR,NR,NR,30-60,NR,NR,NR,60-90,0-30,60-90,0-30,0-30,>120,90-120,NR,>120,0,0-30,30-60,0-30,30-60,>120,NR,30-60,0,30-60,0,NR,NR,0,90-120,90-120,0-30,NR,NR,NR,NR,30-60,60-90
2020-12-05T22:45:47.072Z,199d89c4f3202f3ab435334c88ebb4aa,NR,0-30,NR,NR,0-30,60-90,0-30,NR,30-60,NR,0,NR,30-60,NR,NR,NR,NR,NR,NR,30-60,NR,NR,NR,60-90,0-30,60-90,0-30,0-30,>120,90-120,NR,>120,0,0-30,30-60,0-30,30-60,>120,NR,30-60,0,30-60,0,NR,NR,0,90-120,90-120,0-30,NR,NR,NR,NR,30-60,60-90
2020-12-05T23:08:21.388Z,3408eae7f97731de0fa6b27f511c47bf,NR,0-30,NR,NR,0-30,60-90,0-30,NR,30-60,NR,0,NR,30-60,NR,NR,NR,NR,NR,NR,30-60,NR,NR,NR,60-90,0-30,60-90,0-30,0-30,>120,90-120,NR,>120,0,0-30,30-60,0-30,30-60,>120,NR,30-60,0,30-60,0,0,NR,0,90-120,90-120,0,NR,NR,NR,NR,30-60,60-90
2020-12-06T13:05:21.877Z,b35eb1239d93e27fdac6283f39248378,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR
2020-12-06T13:23:56.557Z,9c06e80a76fbaa9728f855c7e6c8175c,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR
2020-12-06T13:49:40.776Z,c723f0784d909e123437a51a252ecabd,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR
2020-12-06T14:23:39.352Z,a11fda4f95740d7f02d4de7ffe40246d,NR,NR,0,NR,NR,NR,NR,NR,30-60,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0-30,NR,NR,60-90,NR,30-60,0,0-30,NR,60-90,NR,NR,NR,NR,NR,30-60,NR,0,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR
2020-12-06T14:51:20.662Z,af1af9223c933c630022c53de3729889,NR,NR,0,NR,NR,NR,60-90,NR,30-60,0-30,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0-30,NR,NR,60-90,NR,30-60,0,0-30,NR,60-90,NR,NR,NR,0-30,NR,30-60,NR,0,NR,NR,NR,NR,0,NR,NR,NR,NR,0-30,NR
2020-12-06T15:23:16.591Z,03761ff17bbd02754b7283f5589c166c,NR,0,0,0,NR,NR,60-90,NR,30-60,0-30,NR,NR,NR,NR,NR,NR,NR,NR,60-90,NR,NR,NR,NR,NR,NR,NR,0-30,0,NR,60-90,NR,60-90,0,0,NR,60-90,NR,NR,NR,0-30,NR,90-120,0-30,0,NR,NR,NR,NR,0,NR,NR,NR,NR,30-60,NR
2020-12-06T15:36:54.526Z,6556fbecd4f3c44e42908c38ed3af94d,NR,0,0-30,0,NR,NR,60-90,NR,30-60,0-30,NR,NR,0,NR,NR,NR,NR,NR,60-90,NR,NR,NR,NR,NR,0-30,NR,0-30,0,NR,60-90,NR,60-90,0,0,NR,90-120,NR,30-60,NR,0-30,NR,90-120,0-30,0,NR,NR,0-30,NR,0,NR,NR,NR,NR,30-60,NR
2020-12-06T15:49:38.829Z,e01fef2cf6636010bdb8724c55b1b075,NR,0,0-30,0,NR,NR,60-90,NR,30-60,0-30,NR,NR,0,NR,0-30,NR,NR,NR,60-90,NR,NR,NR,NR,NR,0-30,60-90,0-30,0,NR,60-90,NR,60-90,0,0,NR,90-120,NR,30-60,NR,0-30,NR,90-120,0-30,0,NR,NR,0-30,NR,0,NR,NR,NR,NR,30-60,NR
2020-12-06T16:32:56.276Z,94233e02910b5ddc465951c1f38f9410,NR,0,0,0,NR,30-60,60-90,NR,30-60,0-30,NR,NR,0,NR,0-30,NR,NR,NR,60-90,NR,NR,NR,NR,NR,0-30,60-90,0-30,0,60-90,60-90,NR,60-90,0,0,NR,90-120,NR,30-60,NR,0-30,NR,90-120,0-30,0,NR,NR,0-30,NR,0,NR,NR,NR,NR,30-60,NR
2020-12-06T16:59:24.054Z,7eda8d6b375628f79664a8e1c8e81741,NR,0,0,0,NR,30-60,60-90,NR,30-60,0-30,NR,NR,0,NR,0-30,NR,NR,NR,60-90,NR,NR,NR,NR,NR,0-30,60-90,0-30,0,60-90,60-90,NR,60-90,0,0,NR,90-120,NR,30-60,NR,0-30,NR,90-120,0-30,0,NR,NR,0-30,NR,0,NR,NR,NR,NR,30-60,NR
2020-12-06T17:21:57.039Z,ffc1ae4c95c391cffee16cf66c8d6ccb,NR,0,0-30,0,NR,30-60,30-60,NR,30-60,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,60-90,NR,NR,NR,NR,NR,0-30,60-90,0-30,0,60-90,60-90,NR,30-60,0,0,NR,90-120,NR,30-60,NR,30-60,NR,>120,0-30,0,NR,NR,0-30,NR,0,NR,NR,NR,NR,60-90,NR
2020-12-06T17:32:17.493Z,e2f6934b3a2f63736f771a45a9ad4208,NR,0,0-30,0,NR,30-60,0-30,NR,30-60,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,60-90,NR,NR,NR,NR,NR,0-30,60-90,0-30,0,60-90,0-30,NR,30-60,0,0,NR,90-120,NR,30-60,NR,30-60,NR,>120,0-30,0,NR,NR,0-30,NR,0,NR,NR,NR,NR,60-90,NR
2020-12-06T17:48:59.356Z,795bacaa6d5f4a247ab303d9d2004bd2,NR,0,0-30,0,NR,30-60,0-30,NR,30-60,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,60-90,NR,NR,NR,NR,NR,0-30,60-90,0-30,0,30-60,0-30,NR,30-60,0,0,NR,90-120,NR,30-60,NR,30-60,NR,>120,0-30,0,NR,NR,0-30,NR,0,NR,NR,NR,NR,60-90,NR
2020-12-06T18:21:37.765Z,84e0bcaeabd77f92756abe1f385a05cd,NR,0,0,0,NR,30-60,0-30,NR,30-60,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,60-90,NR,NR,NR,NR,NR,0-30,60-90,0-30,0,30-60,0-30,NR,30-60,0,0,NR,90-120,NR,30-60,NR,30-60,0,>120,0-30,0,NR,NR,0-30,NR,0,NR,NR,NR,NR,60-90,NR
2020-12-06T18:36:30.029Z,af910d85a9dd87f5f8c338c809c568a3,NR,0,0,0,NR,30-60,0-30,NR,30-60,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,60-90,NR,NR,NR,NR,NR,0-30,60-90,0-30,0,30-60,0-30,NR,30-60,0,0-30,NR,90-120,NR,30-60,NR,30-60,0,>120,0-30,0,NR,NR,0-30,NR,0,NR,NR,NR,NR,60-90,NR
2020-12-06T18:50:28.062Z,111fa947408a53942e313e887ddfdefa,NR,0,0,0,NR,30-60,0-30,NR,30-60,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,60-90,NR,NR,NR,NR,NR,30-60,60-90,0-30,0,30-60,0-30,NR,30-60,0,0-30,NR,90-120,NR,30-60,NR,30-60,0,>120,0-30,0,NR,NR,0-30,NR,0,NR,NR,NR,NR,60-90,30-60
2020-12-06T19:18:53.729Z,0d1e5ce40889f66d85a78542bfb99711,NR,0,0,0,NR,30-60,0-30,NR,90-120,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,60-90,NR,NR,NR,NR,NR,30-60,60-90,0-30,0,30-60,0-30,NR,30-60,0,0-30,NR,90-120,0-30,30-60,NR,0-30,0,>120,0-30,0,NR,NR,0-30,NR,0,NR,NR,NR,NR,60-90,30-60
2020-12-06T19:38:45.599Z,6ab03d4fc4ed44916ee3e2196aa8e9b5,NR,0-30,0,0,NR,30-60,0-30,NR,90-120,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,60-90,NR,NR,NR,NR,NR,30-60,60-90,0-30,0,30-60,0-30,NR,30-60,0,0-30,NR,90-120,0-30,30-60,NR,0-30,0,>120,0-30,0,NR,NR,0-30,NR,0,NR,NR,NR,NR,60-90,30-60
2020-12-06T19:46:38.069Z,2eac9ec687f07d67dea06147042115d2,NR,0-30,0,0,NR,30-60,0-30,NR,90-120,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,30-60,NR,NR,NR,NR,NR,30-60,60-90,0-30,0,30-60,0-30,NR,30-60,0,0-30,NR,90-120,0-30,0-30,NR,0-30,0,>120,0-30,0,NR,0-30,0-30,NR,0,NR,NR,NR,NR,60-90,30-60
2020-12-06T20:11:53.667Z,03db446d066d8137bed43f971523a4d5,NR,0-30,0,0,NR,30-60,0-30,NR,90-120,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,30-60,NR,NR,NR,NR,NR,30-60,60-90,0-30,0,30-60,0-30,NR,30-60,0,0,NR,90-120,0-30,0-30,NR,0-30,0,>120,0-30,0,NR,0-30,0-30,NR,0,NR,NR,NR,NR,60-90,30-60
2020-12-06T20:28:38.798Z,ba51eddf02756ddf418b0d927216661c,NR,0-30,0,0,NR,30-60,0-30,NR,90-120,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,30-60,NR,NR,NR,NR,NR,30-60,60-90,0-30,0,30-60,0-30,NR,30-60,0,0,NR,90-120,0-30,0-30,NR,0-30,0,>120,0-30,0,NR,0-30,0-30,NR,0,NR,NR,NR,NR,60-90,30-60
2020-12-06T20:39:12.848Z,6bf39dc96154f3781141dff163e4a1c0,NR,0-30,0,0,NR,30-60,0-30,NR,90-120,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,30-60,NR,NR,NR,NR,NR,30-60,60-90,0-30,0,30-60,0-30,NR,30-60,0,0,NR,90-120,0-30,0-30,NR,0-30,0,>120,0-30,0,NR,0-30,0-30,NR,0,NR,NR,NR,NR,60-90,30-60
2020-12-06T20:47:20.977Z,3871315e11ee0cd7c153ecf95d2603f9,NR,0-30,0,0,NR,30-60,0-30,NR,90-120,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,30-60,NR,NR,NR,NR,NR,30-60,60-90,0-30,0,30-60,0-30,NR,30-60,0,0,NR,90-120,0-30,0-30,NR,0-30,0,>120,0-30,0,NR,0-30,0-30,NR,0,NR,NR,NR,NR,60-90,30-60
2020-12-06T21:13:35.580Z,91f9e0eafc8cc897fa069acdfa79f579,NR,0-30,0,0,NR,30-60,0-30,NR,90-120,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,30-60,NR,NR,NR,NR,NR,30-60,60-90,0-30,0,0-30,0-30,NR,30-60,0,0,NR,90-120,0-30,0-30,NR,0-30,0,>120,0-30,0,NR,0-30,0-30,NR,0,NR,NR,NR,NR,60-90,30-60
2020-12-06T21:27:54.018Z,6b5adc4026ddefdf9c89027fce46147d,NR,0,0,0,NR,30-60,0-30,NR,30-60,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,30-60,NR,NR,NR,NR,NR,30-60,60-90,0-30,0,0-30,0-30,NR,30-60,0,0,NR,90-120,0-30,0-30,NR,0-30,0,90-120,0-30,0,NR,0-30,0-30,NR,0,NR,NR,NR,NR,30-60,30-60
2020-12-06T21:40:21.101Z,91947def254329c9252111dc85159264,NR,0,0,0,NR,30-60,0-30,NR,30-60,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,30-60,NR,NR,NR,NR,0-30,30-60,60-90,0-30,0,0-30,0-30,NR,30-60,0,0,NR,90-120,0-30,0-30,NR,0-30,0,90-120,0-30,0,NR,0-30,0-30,NR,0,NR,NR,NR,NR,30-60,30-60
2020-12-06T21:48:43.848Z,d584658941d4b0d6fdb83907b8b3cca6,NR,0,0,0,NR,30-60,0-30,NR,30-60,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,30-60,NR,NR,NR,NR,0-30,30-60,60-90,0-30,0,0-30,0-30,NR,30-60,0,0,NR,90-120,0-30,0-30,NR,0-30,0,90-120,0-30,0,NR,0-30,0-30,NR,0,NR,NR,NR,NR,30-60,30-60
2020-12-06T22:25:09.299Z,fbdb97dc8925db5ea4752d3481f4eb4b,NR,0,0,0,NR,30-60,0-30,NR,30-60,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,30-60,NR,NR,NR,NR,0-30,30-60,60-90,0-30,0,0-30,0-30,NR,30-60,0,0,NR,90-120,0-30,0-30,NR,0-30,0,90-120,0-30,0,NR,0-30,0-30,NR,0,NR,NR,NR,NR,30-60,30-60
2020-12-06T22:39:15.292Z,a0a1fc8c748584594b522a1bf88960cd,NR,0,0,0,NR,30-60,0-30,NR,30-60,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,30-60,NR,NR,NR,NR,0-30,30-60,60-90,0-30,0,0-30,0-30,NR,30-60,0,0,NR,90-120,0-30,0-30,NR,0-30,0,90-120,0-30,0,NR,0-30,0-30,NR,0,NR,NR,NR,NR,30-60,30-60
2020-12-06T22:48:50.457Z,7c813d46607049424ef2ffc9c640c649,NR,0,0,0,NR,30-60,0-30,NR,30-60,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,30-60,NR,NR,NR,NR,0-30,30-60,60-90,0-30,0,0-30,0-30,NR,30-60,0,0,NR,90-120,0-30,0,NR,0-30,0,90-120,0-30,0,NR,0-30,0-30,NR,0,NR,NR,NR,NR,30-60,30-60
2020-12-06T23:21:48.563Z,d5b0c9ef885877564c277745794ac769,NR,0,0,0,NR,30-60,0-30,NR,30-60,0-30,0-30,NR,0,NR,0-30,NR,NR,NR,30-60,NR,NR,NR,NR,0-30,30-60,60-90,0-30,0,0-30,0-30,NR,30-60,0,0,NR,90-120,0-30,0,NR,0-30,0,90-120,0-30,0,NR,0-30,0-30,NR,0,NR,NR,NR,NR,30-60,30-60
2020-12-07T13:23:10.562Z,62f4174935a8298e73cfe3162c5ef4fc,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,0-30,NR,NR,NR,NR,NR,NR,NR,NR,0-30,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
